Benchmark,Percentile,Men,Women
Run 5K,99th,00:18:00,00:20:01
Run 5K,95th,00:19:36,00:22:21
Run 5K,90th,00:20:25,00:23:36
Run 5K,80th,00:21:40,00:25:00
Run 5K,75th ,00:22:09,00:25:43
Run 5K,60th,00:22:36,00:27:30
Run 5K,50th,00:24:30,00:28:33
Run 5K,40th,00:25:25,00:29:56
Run 5K,25th,00:27:30,00:32:00
Run 5K,20th,00:28:24,00:33:03
Run 1 mile,99th,00:05:09,00:05:59
Run 1 mile,95th,00:05:39,00:06:31
Run 1 mile,90th,00:05:54,00:06:52
Run 1 mile,80th,00:06:14,00:07:20
Run 1 mile,75th ,00:06:22,00:07:30
Run 1 mile,60th,00:06:46,00:08:02
Run 1 mile,50th,00:07:02,00:08:26
Grace,99th,00:01:36,00:01:44
Grace,95th,00:01:56,00:02:10
Grace,90th,00:02:11,00:02:27
Grace,80th,00:02:33,00:02:52
Grace,75th ,00:02:43,00:03:02
Grace,60th,00:03:10,00:03:35
Grace,50th,00:03:31,00:03:57
Grace,40th,00:03:55,00:04:24
Grace,25th,00:04:45,00:05:10
Grace,20th,00:05:06,00:05:34
Helen,99th,00:07:25,00:08:10
Helen,95th,00:08:04,00:09:01
Helen,90th,00:08:30,00:09:33
Helen,80th,00:09:03,00:10:13
Helen,75th ,00:09:19,00:10:31
Helen,60th,00:10:00,00:11:20
Helen,50th,00:10:31,00:11:49
Helen,40th,00:11:04,00:12:23
Helen,25th,00:12:05,00:13:23
Helen,20th,00:12:32,00:13:49
Fran,99th,00:02:18,00:02:38
Fran,95th,00:02:44,00:03:29
Fran,90th,00:03:07,00:04:00
Fran,80th,00:03:49,00:04:45
Fran,75th ,00:04:06,00:05:03
Fran,60th,00:04:57,00:05:57
Fran,50th,00:05:35,00:06:30
Fran,40th,00:06:15,00:07:08
Fran,25th,00:07:27,00:08:15
Fran,20th,00:07:56,00:08:43
Filthy 50,99th,00:16:36,00:17:40
Filthy 50,95th,00:19:03,00:20:07
Filthy 50,90th,00:20:29,00:21:46
Filthy 50,80th,00:22:40,00:23:45
Filthy 50,75th ,00:23:29,00:24:30
Filthy 50,60th,00:25:43,00:26:33
Filthy 50,50th,00:27:10,00:27:57
Annie ,99th,00:04:55,00:05:09
Annie ,95th,00:05:35,00:05:48
Annie ,90th,00:05:58,00:06:11
Annie ,80th,00:06:28,00:06:42
Annie ,75th ,00:06:41,00:06:56
Annie ,60th,00:07:18,00:07:35
Annie ,50th,00:07:45,00:08:05
